"","subj_id","epoch_num","avg_epoch_accuracy","accuracy_sd","avg_rt","rt_sd","block_num","gameA_isSR","game_type","num_rest_in_chunk","rest_type","cue_transition_type","cue_type","epochs_on_this_task_continuously","avg_epoch_accuracy_centered"
"126",44,2,0,0,NA,NA,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",2,-0.526569579288028
"127",46,2,0.8,0.421637021355784,3656.96666666203,328.431613894835,1,TRUE,"spatial_recall",12,"epoch_same_same","stay_within_block","stay",2,0.273430420711972
"128",47,2,0.5,0.52704627669473,3418.36666667461,430.85201347815,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",2,-0.0265695792880277
"129",48,2,0.6,0.516397779494322,3401.38571429253,363.018233809078,1,TRUE,"spatial_recall",18,"epoch_same_same","stay_within_block","stay",2,0.0734304207119723
"130",50,2,0,0,NA,NA,1,TRUE,"spatial_recall",19,"epoch_same_same","stay_within_block","stay",2,-0.526569579288028
"131",54,2,0,0,NA,NA,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",2,-0.526569579288028
"132",55,2,0.4,0.516397779494322,3322.20000000192,457.087493446694,1,TRUE,"spatial_recall",2,"epoch_same_same","stay_within_block","stay",2,-0.126569579288028
"133",57,2,0.9,0.316227766016838,3558.1,376.003088048785,1,FALSE,"digit_span",3,"epoch_same_same","stay_within_block","stay",2,0.373430420711972
"134",58,2,0,0,NA,NA,1,TRUE,"spatial_recall",13,"epoch_same_same","stay_within_block","stay",2,-0.526569579288028
"135",59,2,0.6,0.516397779494322,3583.16666666667,569.869604968248,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",2,0.0734304207119723
"136",62,2,0,0,NA,NA,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",2,-0.526569579288028
"137",66,2,0,0,NA,NA,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",2,-0.526569579288028
"138",68,2,0.6,0.516397779494322,2792.4400000006,350.517107515813,1,TRUE,"spatial_recall",4,"epoch_same_same","stay_within_block","stay",2,0.0734304207119723
"139",69,2,0.6,0.516397779494322,3461.18888888886,415.115241362097,1,TRUE,"spatial_recall",10,"epoch_same_same","stay_within_block","stay",2,0.0734304207119723
"140",72,2,0,0,NA,NA,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",2,-0.526569579288028
"141",73,2,0.9,0.316227766016838,3144.1,422.050405099254,1,FALSE,"digit_span",9,"epoch_same_same","stay_within_block","stay",2,0.373430420711972
"142",74,2,0.1,0.316227766016838,3839.32499999995,263.660303863353,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",2,-0.426569579288028
"143",75,2,0.9,0.316227766016838,2575,228.574723986738,1,TRUE,"spatial_recall",16,"epoch_same_same","stay_within_block","stay",2,0.373430420711972
"144",77,2,0.9,0.316227766016838,2203.50000001325,228.092930611551,1,TRUE,"spatial_recall",1,"epoch_same_same","stay_within_block","stay",2,0.373430420711972
"145",78,2,0,0,NA,NA,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",2,-0.526569579288028
"146",79,2,0.8,0.421637021355784,2521.92499999702,350.879677158749,1,TRUE,"spatial_recall",17,"epoch_same_same","stay_within_block","stay",2,0.273430420711972
"147",81,2,1,0,2653.5,661.808003376609,1,FALSE,"digit_span",1,"epoch_same_same","stay_within_block","stay",2,0.473430420711972
"148",82,2,0.7,0.483045891539648,3701.42857142857,271.294954580715,1,FALSE,"digit_span",4,"epoch_same_same","stay_within_block","stay",2,0.173430420711972
"149",83,2,0.8,0.421637021355784,2747.25,213.668468159704,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",2,0.273430420711972
"150",85,2,0,0,NA,NA,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",2,-0.526569579288028
"151",86,2,0.2,0.421637021355784,3771.5,446.184378928712,1,FALSE,"digit_span",9,"epoch_same_same","stay_within_block","stay",2,-0.326569579288028
"152",87,2,0,0,NA,NA,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",2,-0.526569579288028
"153",88,2,0,0,NA,NA,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",2,-0.526569579288028
"154",90,2,0,0,NA,NA,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",2,-0.526569579288028
"155",93,2,0.4,0.516397779494322,3317.48888888955,328.118048287917,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",2,-0.126569579288028
"156",94,2,0.5,0.52704627669473,3777.6,244.070276764706,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",2,-0.0265695792880277
"157",95,2,0.3,0.483045891539648,3507.75,376.41234039282,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",2,-0.226569579288028
"158",96,2,0.4,0.516397779494322,3151.49000000022,436.648367173986,1,TRUE,"spatial_recall",8,"epoch_same_same","stay_within_block","stay",2,-0.126569579288028
"159",97,2,0.4,0.516397779494322,3488.77000000104,259.028823150746,1,TRUE,"spatial_recall",2,"epoch_same_same","stay_within_block","stay",2,-0.126569579288028
"160",99,2,0,0,NA,NA,1,TRUE,"spatial_recall",2,"epoch_same_same","stay_within_block","stay",2,-0.526569579288028
"161",101,2,0.9,0.316227766016838,2580.3,521.000330560782,1,FALSE,"digit_span",12,"epoch_same_same","stay_within_block","stay",2,0.373430420711972
"162",102,2,0.9,0.316227766016838,2760.46666667859,307.112947461719,1,TRUE,"spatial_recall",3,"epoch_same_same","stay_within_block","stay",2,0.373430420711972
"163",103,2,0.9,0.316227766016838,2909.5,501.541900321177,1,FALSE,"digit_span",1,"epoch_same_same","stay_within_block","stay",2,0.373430420711972
"164",104,2,0.8,0.421637021355784,2452.9,411.596201796534,1,FALSE,"digit_span",2,"epoch_same_same","stay_within_block","stay",2,0.273430420711972
"165",106,2,1,0,2150.23999999966,279.444246874107,1,TRUE,"spatial_recall",1,"epoch_same_same","stay_within_block","stay",2,0.473430420711972
"166",108,2,1,0,3603.1,314.799565861624,1,FALSE,"digit_span",1,"epoch_same_same","stay_within_block","stay",2,0.473430420711972
"167",109,2,0.2,0.421637021355784,3245.66666666667,644.906453164591,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",2,-0.326569579288028
"168",110,2,0,0,NA,NA,1,FALSE,"digit_span",8,"epoch_same_same","stay_within_block","stay",2,-0.526569579288028
"169",111,2,0.7,0.483045891539648,3845.5,206.952720618572,1,FALSE,"digit_span",2,"epoch_same_same","stay_within_block","stay",2,0.173430420711972
"170",112,2,0.7,0.483045891539648,3215.55000001192,441.324182767169,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",2,0.173430420711972
"171",113,2,0,0,NA,NA,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",2,-0.526569579288028
"172",114,2,0.1,0.316227766016838,2021.42999998927,420.578805009551,1,TRUE,"spatial_recall",6,"epoch_same_same","stay_within_block","stay",2,-0.426569579288028
"173",116,2,0.8,0.421637021355784,3117.08999999761,490.441348750694,1,TRUE,"spatial_recall",5,"epoch_same_same","stay_within_block","stay",2,0.273430420711972
"174",119,2,0,0,NA,NA,1,TRUE,"spatial_recall",8,"epoch_same_same","stay_within_block","stay",2,-0.526569579288028
"175",120,2,0.8,0.421637021355784,3102.11111111111,231.674040650029,1,TRUE,"spatial_recall",6,"epoch_same_same","stay_within_block","stay",2,0.273430420711972
"176",122,2,0.3,0.483045891539648,2179.16999999881,438.826143882254,1,TRUE,"spatial_recall",1,"epoch_same_same","stay_within_block","stay",2,-0.226569579288028
"177",125,2,0,0,NA,NA,1,TRUE,"spatial_recall",3,"epoch_same_same","stay_within_block","stay",2,-0.526569579288028
"178",126,2,0.6,0.516397779494322,2592.471428571,680.402194082725,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",2,0.0734304207119723
"179",128,2,0,0,NA,NA,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",2,-0.526569579288028
"180",129,2,0.4,0.516397779494322,2952.48000001907,419.03784448628,1,TRUE,"spatial_recall",16,"epoch_same_same","stay_within_block","stay",2,-0.126569579288028
"181",132,2,0,0,NA,NA,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",2,-0.526569579288028
"182",134,2,0.9,0.316227766016838,2518.9,424.569703739366,1,TRUE,"spatial_recall",5,"epoch_same_same","stay_within_block","stay",2,0.373430420711972
"183",135,2,0.9,0.316227766016838,2999.77777777778,671.278403082093,1,FALSE,"digit_span",17,"epoch_same_same","stay_within_block","stay",2,0.373430420711972
