"","subj_id","epoch_num","avg_epoch_accuracy","accuracy_sd","avg_rt","rt_sd","block_num","gameA_isSR","game_type","num_rest_in_chunk","rest_type","cue_transition_type","cue_type","epochs_on_this_task_continuously","avg_epoch_accuracy_centered","dataset"
"114",49,2,0.8,0.421637021355784,3583.53999999762,285.174411332242,1,TRUE,"spatial_recall",3,"epoch_same_same","stay_within_block","stay",2,0.0574999999999968,1
"115",50,2,0.5,0.52704627669473,3207.22222222222,232.194303212728,1,TRUE,"spatial_recall",10,"epoch_same_same","stay_within_block","stay",2,-0.242500000000003,1
"116",51,2,0.9,0.316227766016838,3448.39999999934,298.625065928846,1,FALSE,"digit_span",5,"epoch_same_same","stay_within_block","stay",2,0.157499999999997,1
"117",52,2,0.9,0.316227766016838,1911.25999999791,217.756756240065,1,TRUE,"spatial_recall",5,"epoch_same_same","stay_within_block","stay",2,0.157499999999997,1
"118",54,2,1,0,2507.5,251.426273708902,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",2,0.257499999999997,1
"119",55,2,0.5,0.52704627669473,2858.54285711902,252.976460420851,1,TRUE,"spatial_recall",17,"epoch_same_same","stay_within_block","stay",2,-0.242500000000003,1
"120",57,2,0,0,NA,NA,1,TRUE,"spatial_recall",8,"epoch_same_same","stay_within_block","stay",2,-0.742500000000003,1
"121",60,2,0,0,NA,NA,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",2,-0.742500000000003,1
"122",61,2,0.5,0.52704627669473,2394.82000000253,526.968636635828,1,FALSE,"digit_span",1,"epoch_same_same","stay_within_block","stay",2,-0.242500000000003,1
"123",62,2,0.9,0.316227766016838,3420.50999999344,329.486436921972,1,FALSE,"digit_span",7,"epoch_same_same","stay_within_block","stay",2,0.157499999999997,1
"124",63,2,0.9,0.316227766016838,3060.25000000298,270.186043928081,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",2,0.157499999999997,1
"125",65,2,0.9,0.316227766016838,2503.8099999994,272.212782165943,1,FALSE,"digit_span",1,"epoch_same_same","stay_within_block","stay",2,0.157499999999997,1
"126",66,2,0.8,0.421637021355784,3654.83333333333,359.137261363727,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",2,0.0574999999999968,1
"127",67,2,0.6,0.516397779494322,2693.25555555481,452.757035040361,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",2,-0.142500000000003,1
"128",68,2,0.3,0.483045891539648,3268.12222221163,414.814879724557,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",2,-0.442500000000003,1
"129",69,2,1,0,3289,336.786615595219,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",2,0.257499999999997,1
"130",70,2,1,0,2964.5,422.189070335923,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",2,0.257499999999997,1
"131",71,2,1,0,1922.56000000089,604.920024465089,1,TRUE,"spatial_recall",3,"epoch_same_same","stay_within_block","stay",2,0.257499999999997,1
"132",72,2,0,0,NA,NA,1,TRUE,"spatial_recall",4,"epoch_same_same","stay_within_block","stay",2,-0.742500000000003,1
"133",501,2,0.9,0.316227766016838,2255.61111111111,141.775901024835,1,FALSE,"digit_span",1,"epoch_same_same","stay_within_block","stay",2,0.157499999999997,1
"134",502,2,1,0,2572.36999999955,356.795553192663,1,FALSE,"digit_span",1,"epoch_same_same","stay_within_block","stay",2,0.257499999999997,1
"135",503,2,0.8,0.421637021355784,3796.10000002384,224.083358158496,1,FALSE,"digit_span",2,"epoch_same_same","stay_within_block","stay",2,0.0574999999999968,1
"136",505,2,0.9,0.316227766016838,3017.16666666832,292.295967301566,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",2,0.157499999999997,1
"137",508,2,1,0,2517.54000000358,329.677347992048,1,FALSE,"digit_span",5,"epoch_same_same","stay_within_block","stay",2,0.257499999999997,1
"138",509,2,1,0,1885.30000000009,485.968314010575,1,FALSE,"digit_span",16,"epoch_same_same","stay_within_block","stay",2,0.257499999999997,1
"139",510,2,0,0,NA,NA,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",2,-0.742500000000003,1
"140",511,2,0.9,0.316227766016838,2986.58999996185,250.496211803372,1,TRUE,"spatial_recall",4,"epoch_same_same","stay_within_block","stay",2,0.157499999999997,1
"141",513,2,0,0,NA,NA,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",2,-0.742500000000003,1
"142",514,2,1,0,2967.37000000477,461.203589764332,1,FALSE,"digit_span",1,"epoch_same_same","stay_within_block","stay",2,0.257499999999997,1
"143",515,2,0.9,0.316227766016838,2077.11111111111,241.202427664215,1,FALSE,"digit_span",15,"epoch_same_same","stay_within_block","stay",2,0.157499999999997,1
"144",516,2,1,0,3208.99999999926,380.01385939705,1,FALSE,"digit_span",1,"epoch_same_same","stay_within_block","stay",2,0.257499999999997,1
"145",517,2,0.7,0.483045891539648,2995.77777777778,209.44050334949,1,TRUE,"spatial_recall",2,"epoch_same_same","stay_within_block","stay",2,-0.0425000000000033,1
"146",518,2,0.8,0.421637021355784,3548.54444444511,182.396032790296,1,FALSE,"digit_span",5,"epoch_same_same","stay_within_block","stay",2,0.0574999999999968,1
"147",519,2,0.9,0.316227766016838,2959.67777778043,528.469759751322,1,TRUE,"spatial_recall",8,"epoch_same_same","stay_within_block","stay",2,0.157499999999997,1
"148",525,2,0.8,0.421637021355784,2780.18888888881,357.799596296802,1,TRUE,"spatial_recall",5,"epoch_same_same","stay_within_block","stay",2,0.0574999999999968,1
"149",526,2,1,0,3335.5,547.240806227021,1,FALSE,"digit_span",10,"epoch_same_same","stay_within_block","stay",2,0.257499999999997,1
"150",528,2,1,0,3097.2099999994,165.091593775755,1,TRUE,"spatial_recall",14,"epoch_same_same","stay_within_block","stay",2,0.257499999999997,1
"151",529,2,0.8,0.421637021355784,2588.86999999881,336.097915805683,1,TRUE,"spatial_recall",1,"epoch_same_same","stay_within_block","stay",2,0.0574999999999968,1
"152",532,2,0.2,0.421637021355784,3961.06666666269,250.874357659903,1,TRUE,"spatial_recall",9,"epoch_same_same","stay_within_block","stay",2,-0.542500000000003,1
"153",534,2,0.6,0.516397779494322,3640.24444444312,424.225247101525,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",2,-0.142500000000003,1
"154",536,2,1,0,2443.82000000105,178.644213763889,1,TRUE,"spatial_recall",5,"epoch_same_same","stay_within_block","stay",2,0.257499999999997,1
"155",538,2,0.7,0.483045891539648,2167.77000000179,511.101794710342,1,TRUE,"spatial_recall",1,"epoch_same_same","stay_within_block","stay",2,-0.0425000000000033,1
"156",540,2,0.6,0.516397779494322,3120.91428571301,541.508305349483,1,FALSE,"digit_span",5,"epoch_same_same","stay_within_block","stay",2,-0.142500000000003,1
"157",543,2,1,0,2053.83000000715,345.024743212807,1,FALSE,"digit_span",14,"epoch_same_same","stay_within_block","stay",2,0.257499999999997,1
"158",545,2,0.3,0.483045891539648,3286.12857140813,173.018416349434,1,TRUE,"spatial_recall",6,"epoch_same_same","stay_within_block","stay",2,-0.442500000000003,1
"159",550,2,0.4,0.516397779494322,3550.528571429,423.515177666827,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",2,-0.342500000000003,1
"160",552,2,1,0,2721.95000003576,531.279098544847,1,FALSE,"digit_span",1,"epoch_same_same","stay_within_block","stay",2,0.257499999999997,1
"161",553,2,1,0,2277.6,508.84863499211,1,FALSE,"digit_span",1,"epoch_same_same","stay_within_block","stay",2,0.257499999999997,1
"162",554,2,1,0,2937.82999997139,396.476458726971,1,FALSE,"digit_span",20,"epoch_same_same","stay_within_block","stay",2,0.257499999999997,1
"163",556,2,0.8,0.421637021355784,2619.49999999998,120.370695953995,1,TRUE,"spatial_recall",8,"epoch_same_same","stay_within_block","stay",2,0.0574999999999968,1
"164",557,2,1,0,2603.5,703.790570174584,1,FALSE,"digit_span",10,"epoch_same_same","stay_within_block","stay",2,0.257499999999997,1
"165",558,2,0,0,NA,NA,1,TRUE,"spatial_recall",10,"epoch_same_same","stay_within_block","stay",2,-0.742500000000003,1
"166",559,2,0,0,NA,NA,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",2,-0.742500000000003,1
"167",560,2,0,0,NA,NA,1,TRUE,"spatial_recall",20,"epoch_same_same","stay_within_block","stay",2,-0.742500000000003,1
"168",561,2,1,0,2292.13999999985,282.022750066774,1,FALSE,"digit_span",13,"epoch_same_same","stay_within_block","stay",2,0.257499999999997,1
"169",4,3,1,0,2182.98000001907,389.16332136494,1,FALSE,"digit_span",4,"block_A_B","switch_between_block","switch",3,0.257499999999997,1
"170",5,3,0.9,0.316227766016838,2214.18999999762,420.831413724646,1,FALSE,"digit_span",1,"block_A_B","switch_between_block","switch",3,0.157499999999997,1
"171",6,3,0.8,0.421637021355784,3307.78999999762,347.316008688682,1,TRUE,"spatial_recall",3,"block_A_B","switch_between_block","switch",3,0.0574999999999968,1
"172",8,3,1,0,2995.26000000834,359.869199079834,1,TRUE,"spatial_recall",2,"block_A_B","switch_between_block","switch",3,0.257499999999997,1
"173",10,3,0.8,0.421637021355784,3489.51249999925,251.277435958912,1,TRUE,"spatial_recall",20,"block_A_B","switch_between_block","switch",3,0.0574999999999968,1
"174",12,3,0,0,NA,NA,1,TRUE,"spatial_recall",10,"block_A_B","switch_between_block","switch",3,-0.742500000000003,1
